Itearations;Unique samples;Sample length;Map size;MSE
10;40;10;16;0.622847349
10;40;10;18;0.603353588
10;40;10;20;0.626426701
10;45;1;2;0.02541035
10;45;1;4;0.00669899
10;45;1;6;0.013008834
10;45;1;8;0.011881663
10;45;1;10;0.006162162
10;45;1;12;0.010944384
10;45;1;14;0.005029121
10;45;1;16;0.002063489
10;45;1;18;0.009952425
10;45;1;20;0.015484219
10;45;2;2;0.095796045
10;45;2;4;0.052144173
10;45;2;6;0.039102257
10;45;2;8;0.027685177
10;45;2;10;0.053945574
10;45;2;12;0.037400512
10;45;2;14;0.040014107
10;45;2;16;0.037539484
10;45;2;18;0.032014851
10;45;2;20;0.034564101
10;45;3;2;0.202465613
10;45;3;4;0.163097449
10;45;3;6;0.133115938
10;45;3;8;0.109329112
10;45;3;10;0.096886274
10;45;3;12;0.085405422
10;45;3;14;0.083616911
10;45;3;16;0.085522268
10;45;3;18;0.091803722
10;45;3;20;0.078973097
10;45;4;2;0.284572505
10;45;4;4;0.211702324
10;45;4;6;0.205557082
10;45;4;8;0.166994704
10;45;4;10;0.184099748
10;45;4;12;0.162474403
10;45;4;14;0.171598774
10;45;4;16;0.153297651
10;45;4;18;0.163343679
10;45;4;20;0.149035661
10;45;5;2;0.388727799
10;45;5;4;0.27880792
10;45;5;6;0.257442273
10;45;5;8;0.217656679
10;45;5;10;0.260936135
10;45;5;12;0.24477477
10;45;5;14;0.265397474
10;45;5;16;0.236291905
10;45;5;18;0.283774266
10;45;5;20;0.26564707
10;45;6;2;0.542967985
10;45;6;4;0.40999815
10;45;6;6;0.391374629
10;45;6;8;0.349062315
10;45;6;10;0.320812377
10;45;6;12;0.320112949
10;45;6;14;0.313699904
10;45;6;16;0.313310875
10;45;6;18;0.300262595
10;45;6;20;0.296872981
10;45;7;2;0.641465836
10;45;7;4;0.477093541
10;45;7;6;0.444835104
10;45;7;8;0.460557718
10;45;7;10;0.456453605
10;45;7;12;0.417827175
10;45;7;14;0.396810039
10;45;7;16;0.411320661
10;45;7;18;0.40440763
10;45;7;20;0.420034932
10;45;8;2;0.722546402
10;45;8;4;0.605252399
10;45;8;6;0.567443015
10;45;8;8;0.545225259
10;45;8;10;0.487373558
10;45;8;12;0.473640722
10;45;8;14;0.4715519
10;45;8;16;0.481541733
10;45;8;18;0.489451655
10;45;8;20;0.524497197
10;45;9;2;0.81706673
10;45;9;4;0.746979322
10;45;9;6;0.6630827
10;45;9;8;0.566315169
10;45;9;10;0.558947385
10;45;9;12;0.562600218
10;45;9;14;0.61505008
10;45;9;16;0.572783424
10;45;9;18;0.501085078
10;45;9;20;0.557979558
10;45;10;2;0.977546936
10;45;10;4;0.81870435
10;45;10;6;0.741533799
10;45;10;8;0.748417841
10;45;10;10;0.719297888
10;45;10;12;0.632762998
10;45;10;14;0.66241711
10;45;10;16;0.664728696
10;45;10;18;0.627998244
10;45;10;20;0.61347289
10;50;1;2;0.01761827
10;50;1;4;0.007597088
10;50;1;6;0.005504485
10;50;1;8;0.00318174
10;50;1;10;0.006709169
10;50;1;12;0.01689504
10;50;1;14;0.009843091
10;50;1;16;0.010331519
10;50;1;18;0.005444753
10;50;1;20;0.005476737
10;50;2;2;0.105820332
10;50;2;4;0.057692405
10;50;2;6;0.038968879
10;50;2;8;0.046437012
10;50;2;10;0.034589653
10;50;2;12;0.038961507
10;50;2;14;0.029769136
10;50;2;16;0.026740647
10;50;2;18;0.031452519
10;50;2;20;0.029096714
10;50;3;2;0.195023468
10;50;3;4;0.144200814
10;50;3;6;0.109882943
10;50;3;8;0.106233316
10;50;3;10;0.129323676
10;50;3;12;0.071721627
10;50;3;14;0.089922187
10;50;3;16;0.092132202
10;50;3;18;0.0958059
10;50;3;20;0.091858466
10;50;4;2;0.32678005
10;50;4;4;0.256279565
10;50;4;6;0.190223272
10;50;4;8;0.162605196
10;50;4;10;0.159068913
10;50;4;12;0.145452133
10;50;4;14;0.165205039
10;50;4;16;0.203069053
10;50;4;18;0.170634954
10;50;4;20;0.156869677
10;50;5;2;0.420044763
10;50;5;4;0.296225252
10;50;5;6;0.276986128
10;50;5;8;0.280355843
10;50;5;10;0.25894665
10;50;5;12;0.241234678
10;50;5;14;0.233747378
10;50;5;16;0.239677234
10;50;5;18;0.234271575
10;50;5;20;0.237793473
10;50;6;2;0.519678378
10;50;6;4;0.38348882
10;50;6;6;0.382594766
10;50;6;8;0.361946777
10;50;6;10;0.309378351
10;50;6;12;0.327455094
10;50;6;14;0.322485831
10;50;6;16;0.326489531
10;50;6;18;0.265960241
10;50;6;20;0.319128707
10;50;7;2;0.644630983
10;50;7;4;0.464242705
10;50;7;6;0.446585871
10;50;7;8;0.476372305
10;50;7;10;0.413952828
10;50;7;12;0.43276174
10;50;7;14;0.414916531
10;50;7;16;0.381407699
10;50;7;18;0.393639892
10;50;7;20;0.431902922
10;50;8;2;0.815030651
10;50;8;4;0.560379338
10;50;8;6;0.540135518
10;50;8;8;0.537339677
10;50;8;10;0.52316516
10;50;8;12;0.543238842
10;50;8;14;0.537076185
10;50;8;16;0.509407018
10;50;8;18;0.477953197
10;50;8;20;0.486533001
10;50;9;2;0.828625115
10;50;9;4;0.726458644
10;50;9;6;0.642817688
10;50;9;8;0.63527426
10;50;9;10;0.579342864
10;50;9;12;0.620846905
10;50;9;14;0.582675694
10;50;9;16;0.596875673
10;50;9;18;0.542480711
10;50;9;20;0.602179794
10;50;10;2;0.967592182
10;50;10;4;0.771877884
10;50;10;6;0.731808517
10;50;10;8;0.697673411
10;50;10;10;0.693648377
10;50;10;12;0.676159453
